,ID,Country of Origin,COO MCA,Norm COO MCA,Altitude,Grading Date,Variety,Variety MCA,Norm Variety MCA,Processing Method,PM MCA,Norm PM MCA,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Color MCA,Norm Color MCA,Category Two Defects,Expiration
167,167,Taiwan,0.088575404,0.110403428,140,"January 6th, 2023",unknown,0.164925101,0.182325453,Natural / Dry,-0.138185131,0.160972318,7.67,7.58,7.42,7.5,7.33,7.42,10,10,10,7.42,0,82.33,10.8,0,0,green,-0.087578899,0.244254406,1,"January 6th, 2024"
168,168,Peru,-0.640025321,0.006926417,1600,"July 11th, 2022",Caturra,-0.303127998,0.149352628,Washed / Wet,-0.086084584,0.164642633,7.67,7.5,7.33,7.58,7.33,7.42,10,10,10,7.42,0,82.25,11.7,0,1,greenish,-0.401085207,0.109949521,3,"July 11th, 2023"
169,169,United States (Hawaii),-0.110030412,0.08219712,1200,"November 9th, 2022",Typica,-0.055630776,0.166788006,Washed / Wet,-0.086084584,0.164642633,7.75,7.42,7.33,7.5,7.33,7.5,10,10,10,7.33,0,82.17,10.6,1,0,green,-0.087578899,0.244254406,5,"November 9th, 2023"
170,170,Kenya,0.032075834,0.102379271,1500-1950,"April 7th, 2023","SL28,SL34,Ruiru11",0.184105564,0.183676655,Washed / Wet,-0.086084584,0.164642633,7.5,7.5,7.42,7.5,7.25,7.5,10,10,10,7.5,0,82.17,11.2,0,0,green,-0.087578899,0.244254406,2,"April 6th, 2024"
171,171,Honduras,-0.062636942,0.088928015,1368,"May 23rd, 2022",Catuai,-0.078764482,0.165158311,Washed / Wet,-0.086084584,0.164642633,7.67,7.5,7.25,7.5,7.5,7.33,10,10,10,7.42,0,82.17,10.6,0,0,green,-0.087578899,0.244254406,8,"May 23rd, 2023"
172,172,Taiwan,0.088575404,0.110403428,600,"January 6th, 2023",unknown,0.164925101,0.182325453,Washed / Wet,-0.086084584,0.164642633,7.5,7.67,7.33,7.5,7.25,7.33,10,10,10,7.5,0,82.08,9.7,0,0,bluish-green,0.479854331,0.4873406,0,"January 6th, 2024"
173,173,Taiwan,0.088575404,0.110403428,460,"January 6th, 2023",unknown,0.164925101,0.182325453,Pulped natural / honey,0.254806228,0.188657286,7.33,7.42,7.42,7.5,7.42,7.5,10,10,10,7.5,0,82.08,8.1,0,0,greenish,-0.401085207,0.109949521,3,"January 6th, 2024"
174,174,Taiwan,0.088575404,0.110403428,500,"January 6th, 2023",unknown,0.164925101,0.182325453,Washed / Wet,-0.086084584,0.164642633,7.5,7.58,7.42,7.42,7.25,7.42,10,10,10,7.42,0,82,8.2,0,0,green,-0.087578899,0.244254406,1,"January 6th, 2024"
175,175,Thailand,0.381786564,0.152045734,800-1200,"July 14th, 2022",Catimor,0.895600323,0.233799156,Washed / Wet,-0.086084584,0.164642633,7.17,7.5,7.42,7.42,7.58,7.5,10,10,10,7.42,0,82,9.8,0,0,green,-0.087578899,0.244254406,0,"July 14th, 2023"
176,176,Costa Rica,-0.231922843,0.064885767,1500,"March 29th, 2023",Caturra,-0.303127998,0.149352628,Washed / Wet,-0.086084584,0.164642633,7.42,7.42,7.42,7.33,7.58,7.33,10,10,10,7.5,0,82,10.5,1,2,green,-0.087578899,0.244254406,8,"March 28th, 2024"
