Unnamed: 0,ID,Country of Origin,Altitude,Grading Date,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Expiration,Aroma_Category,Flavor_Category,Aftertaste_Category,Acidity_Category,Body_Category,Overall_Category
0,0,Colombia,1700-1930,"September 21st, 2022",Castillo,Double Anaerobic Washed,8.58,8.5,8.42,8.58,8.25,8.42,10.0,10,10,8.58,0,89.33,11.8,0,0,green,3,"September 21st, 2023",Best,Best,Best,Best,Best,Best
1,1,Taiwan,1200,"November 15th, 2022",Gesha,Washed / Wet,8.5,8.5,7.92,8.0,7.92,8.25,10.0,10,10,8.5,0,87.58,10.5,0,0,blue-green,0,"November 15th, 2023",Best,Best,Best,Best,Best,Best
2,2,Laos,1300,"November 15th, 2022",Java,Semi Washed,8.33,8.42,8.08,8.17,7.92,8.17,10.0,10,10,8.33,0,87.42,10.4,0,0,yellowish,2,"November 15th, 2023",Best,Best,Best,Best,Best,Best
3,3,Costa Rica,1900,"September 21st, 2022",Gesha,Washed / Wet,8.08,8.17,8.17,8.25,8.17,8.08,10.0,10,10,8.25,0,87.17,11.8,0,0,green,0,"September 21st, 2023",Best,Best,Best,Best,Best,Best
4,4,Colombia,1850-2100,"March 6th, 2023",Red Bourbon,"Honey,Mossto",8.33,8.33,8.08,8.25,7.92,7.92,10.0,10,10,8.25,0,87.08,11.6,0,2,yellow-green,2,"March 5th, 2024",Best,Best,Best,Best,Best,Best
5,5,Guatemala,1668,"November 15th, 2022",Gesha,Washed / Wet,8.33,8.33,8.25,7.83,7.83,8.17,10.0,10,10,8.25,0,87.0,10.7,0,0,green,2,"November 15th, 2023",Best,Best,Best,Good,Best,Best
6,6,Taiwan,1250,"November 15th, 2022",Gesha,Washed / Wet,8.33,8.17,8.08,8.0,7.83,8.25,10.0,10,10,8.25,0,86.92,9.1,0,0,green,0,"November 15th, 2023",Best,Best,Best,Best,Best,Best
7,7,Taiwan,1200,"November 15th, 2022",Sl34+Gesha,Natural / Dry,8.25,8.25,8.17,8.0,7.92,8.08,10.0,10,10,8.08,0,86.75,10.0,0,0,yellow green,1,"November 15th, 2023",Best,Best,Best,Best,Best,Best
8,8,Taiwan,1250,"November 15th, 2022",SL34,Washed / Wet,8.08,8.08,8.25,8.08,7.92,8.0,10.0,10,10,8.25,0,86.67,10.8,0,0,greenish,0,"November 15th, 2023",Best,Best,Best,Best,Best,Best
9,9,"Tanzania, United Republic Of",1400-1700,"February 1st, 2023",Bourbon,Washed / Wet,8.08,8.17,8.08,8.17,8.0,8.0,10.0,10,10,8.0,0,86.5,11.0,0,0,greenish,0,"February 1st, 2024",Best,Best,Best,Best,Best,Best
10,10,Ethiopia,1800-2200,"May 31st, 2022",Ethiopian Heirlooms,Natural / Dry,8.08,8.25,8.0,8.08,7.92,7.92,10.0,10,10,8.0,0,86.25,11.8,0,1,greenish,1,"May 31st, 2023",Best,Best,Best,Best,Best,Best
11,11,Guatemala,2000,"November 15th, 2022",Gesha,Natural / Dry,8.08,8.0,8.0,7.75,8.25,8.17,10.0,10,10,8.0,0,86.25,11.5,0,0,brownish,1,"November 15th, 2023",Best,Best,Best,Good,Best,Best
12,12,Taiwan,1250,"November 15th, 2022",Gesha,Washed / Wet,8.08,8.0,8.08,8.08,8.0,8.0,10.0,10,10,8.0,0,86.25,11.9,0,0,green,0,"November 15th, 2023",Best,Best,Best,Best,Best,Best
13,13,Ethiopia,1900-2000,"August 26th, 2022",Gesha,Natural / Dry,7.67,8.17,8.0,8.33,8.0,8.0,10.0,10,10,8.0,0,86.17,11.6,0,3,yellow- green,2,"August 26th, 2023",Good,Best,Best,Best,Best,Best
14,14,Colombia,1850,"November 15th, 2022",Caturra,Washed / Wet,8.08,8.0,8.08,7.92,8.08,8.0,10.0,10,10,8.0,0,86.17,10.6,0,0,green,0,"November 15th, 2023",Best,Best,Best,Best,Best,Best
15,15,Taiwan,1100,"November 15th, 2022",SL34,Pulped natural / honey,8.17,8.08,8.0,7.92,8.0,7.92,10.0,10,10,8.0,0,86.08,10.2,0,0,green,0,"November 15th, 2023",Best,Best,Best,Best,Best,Best
16,16,Ethiopia,1900-2100,"April 7th, 2023","Wolishalo,Kurume,Dega",Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,10.0,10,10,8.08,0,86.08,11.3,0,2,green,2,"April 6th, 2024",Best,Best,Best,Best,Good,Best
17,17,Taiwan,1300,"October 24th, 2022",Gesha,Natural / Dry,8.0,8.17,8.0,7.92,7.92,7.92,10.0,10,10,8.17,0,86.08,10.3,0,0,yellow-green,0,"October 24th, 2023",Best,Best,Best,Best,Best,Best
18,18,Taiwan,1200,"October 24th, 2022",Gesha,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8.0,10.0,10,10,8.17,0,85.92,11.0,0,0,brownish,1,"October 24th, 2023",Best,Best,Best,Best,Best,Best
19,19,"Tanzania, United Republic Of",1570-1600,"February 1st, 2023",Bourbon,Washed / Wet,8.17,8.0,7.92,7.92,8.17,7.75,10.0,10,10,7.92,0,85.83,10.0,0,0,greenish,0,"February 1st, 2024",Best,Best,Best,Best,Best,Best
20,20,Guatemala,1900,"November 15th, 2022",Gesha,Natural / Dry,8.0,7.92,8.08,7.92,7.75,8.0,10.0,10,10,8.08,0,85.75,11.6,0,0,yellowish,0,"November 15th, 2023",Best,Good,Best,Best,Good,Best
21,21,Taiwan,850,"December 12th, 2022",Typica,Natural / Dry,8.08,8.0,7.92,7.92,8.0,7.83,10.0,10,10,7.92,0,85.67,10.4,0,0,green,0,"December 12th, 2023",Best,Best,Best,Best,Best,Best
22,22,Thailand,1500-1700,"August 16th, 2022",Catimor,Pulped natural / honey,7.67,8.0,7.83,8.0,8.08,8.0,10.0,10,10,8.08,0,85.67,9.8,0,0,browish-green,5,"August 16th, 2023",Good,Best,Best,Best,Best,Best
23,23,Colombia,1350,"April 7th, 2023",Castillo Paraguaycito,,8.08,8.0,7.83,8.17,7.75,7.83,10.0,10,10,8.0,0,85.67,11.3,0,0,brownish,2,"April 6th, 2024",Best,Best,Best,Best,Good,Best
24,24,Taiwan,1250,"November 15th, 2022",SL34,Washed / Wet,7.83,8.0,7.92,8.0,8.0,7.92,10.0,10,10,7.92,0,85.58,10.6,0,0,bluish-green,0,"November 15th, 2023",Good,Best,Best,Best,Best,Best
25,25,Brazil,1250,"January 6th, 2023",,Pulped natural / honey,7.83,8.08,7.83,7.92,8.0,7.83,10.0,10,10,8.0,0,85.5,11.3,2,0,green,3,"January 6th, 2024",Good,Best,Best,Best,Best,Best
26,26,Taiwan,1300,"November 15th, 2022",Gesha,Natural / Dry,7.92,7.92,8.0,7.92,7.83,7.92,10.0,10,10,8.0,0,85.5,9.1,0,0,green,2,"November 15th, 2023",Best,Good,Best,Best,Best,Best
27,27,Taiwan,1200,"November 15th, 2022",Gesha,Natural / Dry,8.17,8.08,7.92,8.0,7.58,7.83,10.0,10,10,7.92,0,85.5,10.6,0,0,green,0,"November 15th, 2023",Best,Best,Best,Best,Ok,Best
28,28,Taiwan,1060,"November 15th, 2022",Gesha,Natural / Dry,8.0,8.0,8.0,7.92,7.75,7.92,10.0,10,10,7.92,0,85.5,10.2,0,0,blue-green,0,"November 15th, 2023",Best,Best,Best,Best,Good,Best
29,29,United States (Hawaii),600,"November 15th, 2022",Typica,Washed / Wet,8.0,7.92,8.0,7.83,7.67,8.0,10.0,10,10,8.0,0,85.42,9.3,0,0,green,0,"November 15th, 2023",Best,Good,Best,Good,Good,Best
30,30,Taiwan,150-250,"December 12th, 2022",Typica,Washed / Wet,8.0,8.0,7.83,7.83,7.75,7.92,10.0,10,10,8.08,0,85.42,11.4,0,0,bluish-green,0,"December 12th, 2023",Best,Best,Best,Good,Good,Best
31,31,Taiwan,150-250,"December 12th, 2022",Typica,Washed / Wet,7.92,8.0,7.83,7.92,7.83,7.83,10.0,10,10,8.0,0,85.33,10.8,0,0,green,0,"December 12th, 2023",Best,Best,Best,Best,Best,Best
32,32,Taiwan,668,"June 8th, 2022",Gesha,Washed / Wet,8.08,8.17,7.67,7.83,7.67,7.92,10.0,10,10,8.0,0,85.33,11.3,0,0,green,0,"June 8th, 2023",Best,Best,Good,Good,Good,Best
33,33,Ethiopia,1950,"June 6th, 2022",Ethiopian Heirlooms,Washed / Wet,7.67,7.83,7.83,8.0,8.0,8.0,10.0,10,10,8.0,0,85.33,9.9,0,2,green,3,"June 6th, 2023",Good,Good,Best,Best,Best,Best
34,34,Ethiopia,2150 - 2350,"September 30th, 2022",Ethiopian Heirlooms,Natural / Dry,8.0,8.08,8.0,8.0,7.67,7.75,10.0,10,10,7.83,0,85.33,12.3,0,3,yellow green,4,"September 30th, 2023",Best,Best,Best,Best,Good,Good
35,35,Ethiopia,1700,"December 12th, 2022",Ethiopian Heirlooms,Washed / Wet,7.92,7.75,7.83,8.17,8.0,7.75,10.0,10,10,7.83,0,85.25,9.4,0,1,greenish,1,"December 12th, 2023",Best,Good,Best,Best,Best,Good
36,36,Taiwan,1200,"November 15th, 2022",Gesha,Washed / Wet,8.0,7.92,7.83,7.92,7.83,7.83,10.0,10,10,7.92,0,85.25,9.5,0,0,bluish-green,0,"November 15th, 2023",Best,Good,Best,Best,Best,Best
37,37,Taiwan,650,"June 8th, 2022",Gesha,Pulped natural / honey,8.25,8.08,7.83,7.75,7.67,7.75,10.0,10,10,7.92,0,85.25,11.3,0,0,green,0,"June 8th, 2023",Best,Best,Best,Good,Good,Best
38,38,Kenya,1600-1900,"February 28th, 2023",SL28,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8.0,10.0,10,10,8.0,0,85.25,9.2,0,0,greenish,1,"February 28th, 2024",Best,Good,Best,Ok,Best,Best
39,39,Taiwan,850,"October 24th, 2022",Gesha,Washed / Wet,7.75,7.92,7.75,8.0,7.83,7.92,10.0,10,10,8.0,0,85.17,10.3,0,0,bluish-green,0,"October 24th, 2023",Good,Good,Best,Best,Best,Best
40,40,Taiwan,300-500,"December 12th, 2022",Typica,Natural / Dry,8.0,7.92,7.83,7.92,7.75,7.75,10.0,10,10,7.92,0,85.08,10.0,0,0,brownish,0,"December 12th, 2023",Best,Good,Best,Best,Good,Best
41,41,Taiwan,1000,"December 30th, 2022",Typica,Washed / Wet,8.0,8.08,7.67,7.75,7.92,7.83,10.0,10,10,7.83,0,85.08,10.5,0,0,greenish,0,"December 30th, 2023",Best,Best,Good,Good,Best,Good
42,42,Taiwan,800,"January 6th, 2023",Gesha,Washed / Wet,8.0,7.92,7.67,8.0,7.75,7.83,10.0,10,10,7.92,0,85.08,10.0,0,0,pale yellow,5,"January 6th, 2024",Best,Good,Good,Best,Good,Best
43,43,Uganda,1905,"June 29th, 2022",SL14,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.92,10.0,10,10,7.92,0,85.0,11.0,0,0,green,1,"June 29th, 2023",Best,Good,Best,Good,Good,Best
44,44,Taiwan,150,"December 12th, 2022",Typica,,7.92,8.0,7.92,8.0,7.58,7.75,10.0,10,10,7.83,0,85.0,10.9,0,0,green,0,"December 12th, 2023",Best,Best,Best,Best,Ok,Good
45,45,Taiwan,800,"November 15th, 2022",Gesha,Natural / Dry,8.17,8.08,7.83,7.67,7.67,7.75,10.0,10,10,7.83,0,85.0,10.1,0,0,yellow green,0,"November 15th, 2023",Best,Best,Best,Good,Good,Good
46,46,Guatemala,1600,"April 17th, 2023",Caturra,Washed / Wet,7.67,8.08,7.67,8.0,7.92,7.83,10.0,10,10,7.83,0,85.0,9.9,0,1,green,1,"April 16th, 2024",Good,Best,Good,Best,Best,Good
47,47,Guatemala,4700,"February 23rd, 2023",Catuai,Washed / Wet,7.67,8.0,7.75,7.92,8.0,7.83,10.0,10,10,7.83,0,85.0,11.3,0,0,green,4,"February 23rd, 2024",Good,Best,Best,Best,Best,Good
48,48,Guatemala,1600,"June 22nd, 2022",Caturra,Washed / Wet,7.83,7.92,7.75,8.0,7.75,7.75,10.0,10,10,7.92,0,84.92,11.7,0,3,green,1,"June 22nd, 2023",Good,Good,Best,Best,Good,Best
49,49,Taiwan,350-400,"January 6th, 2023",Typica,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10.0,10,10,7.83,0,84.92,9.5,0,0,green,2,"January 6th, 2024",Best,Good,Best,Good,Good,Good
50,50,Taiwan,230,"January 6th, 2023",Yellow Bourbon,Natural / Dry,8.0,8.0,7.75,7.75,7.67,7.75,10.0,10,10,7.92,0,84.83,9.7,0,0,brownish,0,"January 6th, 2024",Best,Best,Best,Good,Good,Best
51,51,Indonesia,1200,"September 23rd, 2022",Catimor,,7.83,7.92,7.75,7.83,7.83,7.83,10.0,10,10,7.83,0,84.83,11.9,0,3,bluish-green,2,"September 23rd, 2023",Good,Good,Best,Good,Best,Good
52,52,Peru,1750,"November 15th, 2022",Gesha,Washed / Wet,8.0,8.0,7.83,7.83,7.58,7.83,10.0,10,10,7.75,0,84.83,10.7,0,0,greenish,0,"November 15th, 2023",Best,Best,Best,Good,Ok,Good
53,53,"Tanzania, United Republic Of",1654,"November 9th, 2022",Bourbon,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10.0,10,10,7.83,0,84.83,11.2,0,0,greenish,0,"November 9th, 2023",Best,Good,Best,Best,Best,Good
54,54,Taiwan,1300,"November 15th, 2022",SL34,Natural / Dry,7.83,7.83,7.67,7.67,7.83,8.0,10.0,10,10,8.0,0,84.83,9.5,0,0,greenish,0,"November 15th, 2023",Good,Good,Good,Good,Best,Best
